Date,Time,Millis,Sensor1,Sensor2
2026-03-25,20:55:48,2000,1043,1221
2026-03-25,20:55:50,4000,1047,1217
2026-03-25,20:55:52,6000,1045,1217
2026-03-25,20:55:54,8000,1047,1211
2026-03-25,20:55:56,10000,1049,1223
2026-03-25,20:55:58,12000,1057,986
2026-03-25,20:56:00,14000,1055,1216
2026-03-25,20:56:02,16000,1042,1221
2026-03-25,20:56:04,18000,1038,1216
2026-03-25,20:56:06,20000,1049,1229
2026-03-25,20:56:08,22000,1057,1225
2026-03-25,20:56:10,24000,1024,1231
2026-03-25,20:56:12,26000,1054,1216
2026-03-25,20:56:14,28000,1040,1230
2026-03-25,20:56:16,30000,1051,1223
2026-03-25,20:56:18,32000,1057,1217
2026-03-25,20:56:20,34000,1040,1213
2026-03-25,20:56:22,36000,1047,1217
2026-03-25,20:56:24,38000,1061,1219
2026-03-25,20:56:26,40000,1046,1226
2026-03-25,20:56:28,42000,1047,1218
2026-03-25,20:56:30,44000,1051,1223
2026-03-25,20:56:32,46000,1054,1218
2026-03-25,20:56:34,48000,1041,1229
2026-03-25,20:56:36,50000,1010,1231
2026-03-25,20:56:38,52000,1043,1238
2026-03-25,20:56:40,54000,1055,1218
2026-03-25,20:56:42,56000,1045,1222
2026-03-25,20:56:44,58000,1033,1209
2026-03-25,20:56:46,60000,1063,1223
2026-03-25,20:56:48,62000,1033,1439
2026-03-25,20:56:50,64000,1041,1225
2026-03-25,20:56:52,66000,1047,1218
2026-03-25,20:56:54,68000,1038,1231
2026-03-25,20:56:56,70000,1023,1220
2026-03-25,20:56:58,72000,1043,1226
2026-03-25,20:57:00,74000,1034,1168
2026-03-25,20:57:02,76000,1015,1225
2026-03-25,20:57:04,78000,1023,1218
2026-03-25,20:57:06,80000,1063,1217
2026-03-25,20:57:08,82000,1072,1221
2026-03-25,20:57:10,84000,1050,1231
2026-03-25,20:57:12,86000,1038,1222
2026-03-25,20:57:14,88000,1040,1229
2026-03-25,20:57:16,90000,1040,1215
2026-03-25,20:57:18,92000,1051,1229
2026-03-25,20:57:20,94000,1040,1211
2026-03-25,20:57:22,96000,1023,1244
2026-03-25,20:57:24,98000,1057,1217
2026-03-25,20:57:26,100000,1039,1214
2026-03-25,20:57:28,102000,1038,1232
2026-03-25,20:57:30,104000,1022,1234
2026-03-25,20:57:32,106000,1023,1223
2026-03-25,20:57:34,108000,1035,1219
2026-03-25,20:57:36,110000,1021,1227
2026-03-25,20:57:38,112000,1040,1215
