Timestamp,MQ2,MQ3,MQ135,Temperature,Humidity
2026-03-29 23:40:03,77,560,117,27.90,74.50
2026-03-29 23:40:08,66,545,121,27.90,74.60
2026-03-29 23:40:13,67,535,128,28.00,74.50
2026-03-29 23:40:18,79,528,102,27.90,74.50
2026-03-29 23:40:23,86,560,44,27.90,74.40
2026-03-29 23:40:28,66,504,100,27.90,74.50
2026-03-29 23:40:33,80,530,48,27.90,74.40
2026-03-29 23:40:38,61,496,116,27.90,74.40
2026-03-29 23:40:43,89,511,112,27.90,74.40
2026-03-29 23:40:48,86,511,116,27.90,74.40
2026-03-29 23:40:53,80,529,125,27.90,74.50
2026-03-29 23:40:58,80,582,122,27.90,74.30
2026-03-29 23:41:03,80,585,103,27.90,74.30
2026-03-29 23:41:08,64,560,107,27.90,74.20
2026-03-29 23:41:13,80,531,112,27.90,74.30
2026-03-29 23:41:18,65,528,112,28.00,74.40
2026-03-29 23:41:23,67,545,143,27.90,74.30
2026-03-29 23:41:28,66,528,128,27.90,74.30
2026-03-29 23:41:33,75,528,122,27.90,74.30
2026-03-29 23:41:38,64,574,132,28.00,74.30
2026-03-29 23:41:43,78,558,98,27.90,74.30
2026-03-29 23:41:48,66,546,129,27.90,74.30
2026-03-29 23:41:53,96,566,80,27.90,74.40
2026-03-29 23:41:58,80,562,114,27.90,74.40
2026-03-29 23:42:03,69,616,116,27.90,74.30
2026-03-29 23:42:08,66,535,130,27.90,74.30
2026-03-29 23:42:13,89,544,123,27.90,74.40
2026-03-29 23:42:18,87,528,130,27.90,74.40
2026-03-29 23:42:23,58,511,128,27.90,74.50
2026-03-29 23:42:28,64,549,121,27.90,74.50
2026-03-29 23:42:33,64,560,127,27.90,74.50
2026-03-29 23:42:40,76,560,128,27.90,74.40
2026-03-29 23:42:45,82,559,113,27.90,74.40
2026-03-29 23:42:50,77,527,111,27.90,74.50
2026-03-29 23:42:55,71,511,125,27.90,74.50
2026-03-29 23:43:00,62,608,112,27.90,74.30
2026-03-29 23:43:05,77,558,63,27.90,74.50
2026-03-29 23:43:10,80,579,123,27.90,74.40
2026-03-29 23:43:15,74,538,109,27.90,74.40
2026-03-29 23:43:20,73,549,125,27.90,74.40
2026-03-29 23:43:25,62,572,113,27.90,74.50
2026-03-29 23:43:30,80,589,147,27.90,74.50
2026-03-29 23:43:35,65,606,110,27.90,74.50
2026-03-29 23:43:40,80,609,117,27.90,74.50
2026-03-29 23:43:45,62,583,115,27.90,74.40
2026-03-29 23:43:50,80,534,128,27.90,74.40
2026-03-29 23:43:55,80,597,121,27.90,74.50
2026-03-29 23:44:00,77,578,97,27.90,74.40
2026-03-29 23:44:05,58,606,116,27.90,74.70
2026-03-29 23:44:10,55,561,92,27.90,74.60
2026-03-29 23:44:15,80,564,106,27.90,74.70
2026-03-29 23:44:20,65,575,121,27.90,74.70
2026-03-29 23:44:25,62,535,89,27.90,74.70
2026-03-29 23:44:30,81,554,106,27.90,74.80
2026-03-29 23:44:36,63,577,103,27.90,74.70
2026-03-29 23:44:41,78,566,127,27.90,74.60
2026-03-29 23:44:46,80,543,97,28.00,74.60
2026-03-29 23:44:51,73,531,129,27.90,74.80
2026-03-29 23:44:56,75,545,106,27.90,74.70
2026-03-29 23:45:01,67,572,97,27.90,74.80
2026-03-29 23:45:06,70,546,112,27.90,74.80
2026-03-29 23:45:11,80,561,95,28.00,74.80
2026-03-29 23:45:16,64,599,126,27.90,74.80
2026-03-29 23:45:21,76,576,83,27.90,74.90
2026-03-29 23:45:26,82,575,94,27.90,74.70
2026-03-29 23:45:31,67,563,115,27.90,74.70
2026-03-29 23:45:36,81,624,109,28.00,74.60
2026-03-29 23:45:41,66,570,98,27.90,74.70
2026-03-29 23:45:46,57,581,113,27.90,74.70
2026-03-29 23:45:51,74,548,103,28.00,74.80
2026-03-29 23:45:56,75,553,102,28.00,74.80
2026-03-29 23:46:01,84,560,90,28.00,74.70
2026-03-29 23:46:06,93,545,113,28.00,74.60
2026-03-29 23:46:11,74,552,119,27.90,74.70
2026-03-29 23:46:16,64,539,105,28.00,74.70
2026-03-29 23:46:21,61,567,93,28.00,74.70
2026-03-29 23:46:26,75,560,99,27.90,74.60
2026-03-29 23:46:31,79,544,111,27.90,74.70
2026-03-29 23:46:36,77,595,112,28.00,74.80
2026-03-29 23:46:41,68,557,92,28.00,74.70
2026-03-29 23:46:46,86,535,91,28.00,74.60
2026-03-29 23:46:51,71,496,107,27.90,74.80
2026-03-29 23:46:56,85,562,109,28.00,74.70
2026-03-29 23:47:01,75,560,98,28.00,74.60
2026-03-29 23:47:06,80,557,97,28.00,74.60
2026-03-29 23:47:11,80,575,118,27.90,74.60
2026-03-29 23:47:16,80,566,112,28.00,74.70
2026-03-29 23:47:21,73,563,114,28.00,74.70
2026-03-29 23:47:26,87,549,130,28.00,74.70
2026-03-29 23:47:31,63,544,96,28.00,74.70
2026-03-29 23:47:36,77,570,110,28.00,74.70
2026-03-29 23:47:41,81,565,107,28.00,74.70
2026-03-29 23:47:46,84,577,131,28.00,74.60
2026-03-29 23:47:51,74,570,94,28.00,74.60
2026-03-29 23:47:56,80,560,97,28.00,74.70
2026-03-29 23:48:01,76,583,99,28.00,74.60
2026-03-29 23:48:06,71,559,130,28.00,74.60
2026-03-29 23:48:11,71,576,95,28.00,74.60
2026-03-29 23:48:16,81,560,113,28.00,74.70
2026-03-29 23:48:21,84,555,117,28.00,74.60
2026-03-29 23:48:26,65,565,103,28.00,74.70
2026-03-29 23:48:31,80,569,116,28.00,74.70
2026-03-29 23:48:36,88,560,113,28.00,74.80
2026-03-29 23:48:41,80,602,122,28.00,74.70
2026-03-29 23:48:46,85,610,136,28.00,74.70
2026-03-29 23:48:51,70,567,99,28.00,74.60
2026-03-29 23:48:56,77,591,118,28.00,74.70
2026-03-29 23:49:01,77,606,122,28.00,74.80
2026-03-29 23:49:06,75,570,112,28.00,74.50
2026-03-29 23:49:11,60,565,103,28.00,74.60
2026-03-29 23:49:16,73,537,111,28.00,74.60
2026-03-29 23:49:21,65,560,97,28.00,74.60
2026-03-29 23:49:26,64,555,110,28.00,74.60
2026-03-29 23:49:31,71,560,119,28.00,74.60
2026-03-29 23:49:36,64,565,118,28.00,74.70
2026-03-29 23:49:41,80,551,112,28.00,74.50
2026-03-29 23:49:46,87,539,98,28.00,74.50
2026-03-29 23:49:51,85,511,115,28.00,74.50
2026-03-29 23:49:56,80,551,99,28.00,74.60
2026-03-29 23:50:01,68,555,109,28.00,74.60
2026-03-29 23:50:06,75,549,85,28.00,74.50
2026-03-29 23:50:11,73,540,112,28.00,74.60
2026-03-29 23:50:16,71,545,91,28.00,74.40
2026-03-29 23:50:21,66,525,96,28.00,74.50
2026-03-29 23:50:31,66,555,110,28.00,74.60
2026-03-29 23:50:36,81,579,92,28.00,74.60
2026-03-29 23:50:41,64,592,107,28.00,74.50
2026-03-29 23:50:46,90,575,103,28.00,74.50
2026-03-29 23:50:51,69,560,107,28.10,74.50
2026-03-29 23:50:56,91,562,93,28.00,74.50
2026-03-29 23:51:01,73,603,106,28.00,74.50
2026-03-29 23:51:06,64,576,106,28.10,74.60
2026-03-29 23:51:11,64,576,91,28.00,74.50
2026-03-29 23:51:16,73,567,113,28.00,74.40
2026-03-29 23:51:21,85,542,114,28.00,74.50
2026-03-29 23:51:26,71,557,131,28.00,74.60
2026-03-29 23:51:31,68,578,121,28.10,74.60
2026-03-29 23:51:36,63,555,91,28.00,74.50
2026-03-29 23:51:41,84,539,112,28.00,74.60
2026-03-29 23:51:46,62,537,91,28.00,74.60
2026-03-29 23:51:51,80,549,109,28.10,74.60
2026-03-29 23:51:56,69,554,98,28.10,74.40
2026-03-29 23:52:01,86,567,105,28.00,74.50
2026-03-30 01:52:22,71,636,128,28.10,74.10
2026-03-30 01:52:22,70,631,174,28.20,74.00
