Timestamp,MQ2,MQ3,MQ135,Temperature,Humidity
2026-03-31 03:06:33,128,1781,59,26.90,82.40
2026-03-31 03:06:38,115,1739,52,26.90,82.50
2026-03-31 03:06:43,118,1686,49,26.90,82.40
2026-03-31 03:06:48,100,1648,48,26.90,82.40
2026-03-31 03:06:53,121,1619,47,26.90,82.30
2026-03-31 03:06:58,118,1617,43,26.90,82.40
2026-03-31 03:07:03,100,1580,34,26.90,82.30
2026-03-31 03:07:08,98,1553,31,26.90,82.30
2026-03-31 03:07:13,83,1523,45,26.90,82.30
2026-03-31 03:07:18,98,1497,50,26.90,82.30
2026-03-31 03:07:23,98,1456,48,26.90,82.10
2026-03-31 03:07:28,94,1451,43,26.90,82.30
2026-03-31 03:07:33,87,1421,46,26.90,82.10
2026-03-31 03:07:38,92,1380,38,26.90,82.20
2026-03-31 03:07:43,80,1393,38,26.90,82.10
2026-03-31 03:07:48,110,1342,39,27.00,82.20
2026-03-31 03:07:53,89,1333,27,26.90,82.20
2026-03-31 03:07:58,90,1310,19,26.90,82.10
2026-03-31 03:08:03,80,1271,32,26.90,82.00
2026-03-31 03:08:08,79,1291,0,26.90,82.00
2026-03-31 03:08:13,80,1254,17,27.00,82.00
2026-03-31 03:08:18,86,1249,18,27.00,82.10
2026-03-31 03:08:23,77,1232,18,27.00,81.90
2026-03-31 03:08:28,80,1232,44,27.00,81.90
2026-03-31 03:08:33,68,1200,27,27.00,82.00
2026-03-31 03:08:38,76,1207,28,27.00,82.00
2026-03-31 03:08:43,79,1195,16,27.00,82.10
2026-03-31 03:08:48,71,1150,22,26.90,81.90
2026-03-31 03:08:53,77,1157,31,26.90,82.00
2026-03-31 03:08:58,79,1147,19,27.00,81.90
2026-03-31 03:09:03,78,1127,30,27.00,82.00
2026-03-31 03:09:08,60,1113,35,27.00,82.00
2026-03-31 03:09:13,80,1105,17,27.00,82.00
2026-03-31 03:09:18,33,1104,20,27.00,82.00
2026-03-31 03:09:23,63,1088,26,27.00,81.90
2026-03-31 03:09:28,55,1099,54,27.00,82.00
2026-03-31 03:09:33,64,1082,7,27.00,82.00
2026-03-31 03:09:38,68,1066,27,27.00,81.80
2026-03-31 03:09:43,68,1060,29,27.00,81.90
2026-03-31 03:09:48,62,1087,19,27.00,81.90
2026-03-31 03:09:53,64,1070,17,27.00,81.90
2026-03-31 03:09:58,61,1035,32,27.00,81.90
2026-03-31 03:10:03,61,1015,16,27.00,82.00
2026-03-31 03:10:08,80,1019,22,27.00,81.80
2026-03-31 03:10:13,53,1039,45,27.00,81.90
2026-03-31 03:10:18,73,990,0,27.00,81.90
2026-03-31 03:10:23,63,1021,30,27.00,81.80
2026-03-31 03:10:28,62,985,25,27.00,81.80
2026-03-31 03:10:33,61,994,23,27.00,81.90
2026-03-31 03:10:38,229,995,14,27.00,81.90
2026-03-31 03:10:43,64,973,18,27.00,81.90
2026-03-31 03:10:48,73,977,19,27.00,81.90
2026-03-31 03:10:53,64,963,54,27.00,81.90
2026-03-31 03:10:58,61,975,43,27.00,81.90
2026-03-31 03:11:03,61,963,16,27.00,81.90
2026-03-31 03:11:08,49,939,28,27.00,82.00
2026-03-31 03:11:13,75,972,23,27.00,81.90
2026-03-31 03:11:18,64,929,20,27.00,81.90
2026-03-31 03:11:23,60,959,24,27.00,81.90
2026-03-31 03:11:28,51,933,24,27.00,81.90
